Winery,ABC #,Year,2022     BOY Inventory,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Totals,Monthly Avg.,Months Left,Tasting Room EOY,Remaining Inventory,Year_1,Wine,BOY Inventory,Bottling
Effingham,SPRKLG20,0,,10,10,10,0,0,0,0,0,0,0,0,0,30,10,0,0,0,0,Sparkling,,
Effingham,100464,2021,,0,0,0,13,0,1,24,28,42,23,12,20,163,18,15,15,263,2021,Rose,,
Effingham,154310,2021,,0,0,0,18,21,56,25,24,33,13,10,0,200,25,0,0,0,2021,Petit Manseng,,
Effingham,101636,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,2021,Viognier,,
Effingham,97511,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,2021,Chardonnay,,
Effingham,137525,2021,,0,0,0,9,0,0,2,0,0,2,0,0,13,1,129,2,186,2021,Celebration,,
Effingham,137525,2021,,0,0,0,10,7,0,0,0,1,0,3,0,21,3,0,0,0,2021,Celebration 1.5L,,
Effingham,101638,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2021,Merlot,,
Effingham,100465,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,2021,Meritage,,
Effingham,102768,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,2021,Tannat,,
Effingham,100643,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,2021,Kings Ransom,,
Effingham,CABFRANC,2021,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,2021,Cabernet Franc,,
Effingham,CLW21,2021,,0,0,0,0,0,0,9,0,0,8,0,0,17,3,5,3,13,2021,Clearly White,,
Effingham,CLRS21,2021,,0,0,0,0,0,0,8,1,0,9,0,0,18,3,4,3,11,2021,Clearly Rose,,
Effingham,CLSG21,2021,,0,0,0,0,0,0,10,3,2,10,0,0,25,4,1,1,3,2021,Clearly Sangria,,
Effingham,SPRKLG21,0,,0,0,3,17,9,17,16,5,16,22,9,18,132,11,0,0,0,0,Sparkling ,,
Effingham,SPRKLG21,0,,0,0,0,0,0,0,0,0,0,0,0,46,46,4,25,8,94,0,Sparkling,,
Effingham,101638,2018,,23,15,13,18,10,0,0,0,0,0,0,0,79,16,0,,1,2018,Merlot,80,0
Effingham,97511,2019,,26,20,10,12,22,17,18,56,0,0,0,0,181,23,6,,133,2019,Chardonnay,314,0
Effingham,101638,2019,,0,22,38,8,8,24,12,10,0,0,0,0,122,17,7,,125,2019,Merlot,247,0
Effingham,100465,2019,,23,29,16,18,16,12,16,20,0,0,0,0,150,19,15,,285,2019,Meritage,435,0
Effingham,102768,2019,,26,17,16,12,7,0,0,0,0,0,0,0,78,16,0,,0,2019,Tannat,78,0
Effingham,163699,2019,,18,42,0,0,0,0,0,0,0,0,0,0,60,30,0,,0,2019,Reserve,60,0
Effingham,100643,2019,,22,23,40,33,26,23,10,0,0,0,0,0,177,25,0,,0,2019,Kings Ransom,177,0
Effingham,116509,2019,,16,12,8,3,4,5,5,13,0,0,0,0,66,8,1,,7,2019,Snort,73,0
Effingham,101636,2020,,17,20,11,12,14,14,17,29,0,0,0,0,134,17,3,,57,2020,Viognier,191,0
Effingham,97511,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2020,Chardonnay,0,0
Effingham,137525,2020,,22,0,0,0,0,0,0,0,0,0,0,0,22,22,0,,0,2020,Celebration,22,0
Effingham,137525,2020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2020,Celebration 1.5L,0,0
